Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_hybrid
Units,V,W,W,W,V,1/W,1/V,1/V,1/V,W,V,A,V,V,,
[0],inv_snl_ac_voltage,inv_snl_pso,inv_snl_paco,inv_snl_pdco,inv_snl_vdco,inv_snl_c0,inv_snl_c1,inv_snl_c2,inv_snl_c3,inv_snl_pnt,inv_snl_vdcmax,inv_snl_idcmax,inv_snl_mppt_low,inv_snl_mppt_hi,inv_cec_date,inv_cec_hybrid
Enphase Energy Inc : IQ7HS-66-ACM-US [240V],240,1.69476,384,396.132,40.5,-4.9069e-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,9/12/2022,N
Enphase Energy Inc : IQ7HS-66-ACM-US-NM [208V],208,1.7633,367,380.332,40.5,-6.84318e-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-ACM-US-NM [240V],240,1.69476,384,396.132,40.5,-4.9069e-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-E-ACM-US [208V],208,1.7633,367,380.332,40.5,-6.84318e-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-E-ACM-US [240V],240,1.69476,384,396.132,40.5,-4.9069e-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-E-ACM-US-NM [208V],208,1.7633,367,380.332,40.5,-6.84318e-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-E-ACM-US-NM [240V],240,1.69476,384,396.132,40.5,-4.9069e-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-M-ACM-US [208V],208,1.7633,367,380.332,40.5,-6.84318e-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-M-ACM-US [240V],240,1.69476,384,396.132,40.5,-4.9069e-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-M-ACM-US-NM [208V],208,1.7633,367,380.332,40.5,-6.84318e-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-M-ACM-US-NM [240V],240,1.69476,384,396.132,40.5,-4.9069e-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-M-ACM-US-RMA [208V],208,1.7633,367,380.332,40.5,-6.84318e-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-M-ACM-US-RMA [240V],240,1.69476,384,396.132,40.5,-4.9069e-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-M-US [208V],208,1.7633,367,380.332,40.5,-6.84318e-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,11/1/2022,N
Enphase Energy Inc : IQ7HS-66-M-US [240V],240,1.69476,384,396.132,40.5,-4.9069e-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,11/1/2022,N
Enphase Energy Inc : IQ7PD-72-2-US [208V],208,1.31676,190,195.646,31,-5.50762e-05,-0.000308134,-0.00926849,-0.108737,0.02,40,6.31117,22,40,6/1/2023,N
Enphase Energy Inc : IQ7PD-72-2-US [240V],240,1.31514,190,195.419,31,-2.53508e-05,-0.000476745,-0.0217568,-0.326728,0.02,40,6.30384,22,40,6/1/2023,N
Enphase Energy Inc : IQ7PD-84-2-US [208V],208,1.46551,210,216.752,40,-4.15571e-05,0.000116723,0.00942464,-0.0373976,0.017,50,5.4188,31,50,6/1/2023,N
Enphase Energy Inc : IQ7PD-84-2-US [240V],240,1.32642,210,215.679,40,-7.18791e-06,0.000131039,0.00440669,-0.331976,0.022,50,5.39198,31,50,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-2-US [208V],208,1.97565,290,300.806,36,-8.91095e-05,-4.92406e-05,0.0227864,-0.00605926,0.025,45,8.35573,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-2-US [240V],240,1.89885,290,299.04,36,-6.54326e-05,-0.000269406,0.0188955,-0.0278326,0.025,45,8.30668,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-5-US [208V],208,1.97565,290,300.806,36,-8.91095e-05,-4.92406e-05,0.0227864,-0.00605926,0.025,45,8.35573,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-5-US [240V],240,1.89885,290,299.04,36,-6.54326e-05,-0.000269406,0.0188955,-0.0278326,0.025,45,8.30668,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-ACM-US [208V],208,1.97565,290,300.806,36,-8.91095e-05,-4.92406e-05,0.0227864,-0.00605926,0.025,45,8.35573,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-ACM-US [240V],240,1.89885,290,299.04,36,-6.54326e-05,-0.000269406,0.0188955,-0.0278326,0.025,45,8.30668,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-ACM-US-NM [208V],208,1.97565,290,300.806,36,-8.91095e-05,-4.92406e-05,0.0227864,-0.00605926,0.025,45,8.35573,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-ACM-US-NM [240V],240,1.89885,290,299.04,36,-6.54326e-05,-0.000269406,0.0188955,-0.0278326,0.025,45,8.30668,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-E-ACM-US [208V],208,1.97565,290,300.806,36,-8.91095e-05,-4.92406e-05,0.0227864,-0.00605926,0.025,45,8.35573,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-E-ACM-US [240V],240,1.89885,290,299.04,36,-6.54326e-05,-0.000269406,0.0188955,-0.0278326,0.025,45,8.30668,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-E-ACM-US-NM [208V],208,1.97565,290,300.806,36,-8.91095e-05,-4.92406e-05,0.0227864,-0.00605926,0.025,45,8.35573,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-E-ACM-US-NM [240V],240,1.89885,290,299.04,36,-6.54326e-05,-0.000269406,0.0188955,-0.0278326,0.025,45,8.30668,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-E-US [208V],208,1.97565,290,300.806,36,-8.91095e-05,-4.92406e-05,0.0227864,-0.00605926,0.025,45,8.35573,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-E-US [240V],240,1.89885,290,299.04,36,-6.54326e-05,-0.000269406,0.0188955,-0.0278326,0.025,45,8.30668,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-M-US [208V],208,1.97565,290,300.806,36,-8.91095e-05,-4.92406e-05,0.0227864,-0.00605926,0.025,45,8.35573,27,45,6/1/2023,N
Enphase Energy Inc : IQ7PLUS-72-M-US [240V],240,1.89885,290,299.04,36,-6.54326e-05,-0.000269406,0.0188955,-0.0278326,0.025,45,8.30668,27,45,6/1/2023,N
Enphase Energy Inc : IQ7X-96-2-US [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-2-US [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-5-US [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-5-US [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-ACM-US [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-ACM-US [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-ACM-US-NM [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-ACM-US-NM [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-E-ACM-US [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-E-ACM-US [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-E-ACM-US-NM [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-E-ACM-US-NM [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-E-US [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-E-US [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-M-US [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7X-96-M-US [240V],240,1.30138,315,322.968,60,-2.77376e-05,-2.45903e-05,0.00348527,-0.0377814,0.021,64,5.38281,53,64,6/1/2023,N
Enphase Energy Inc : IQ7XS-96-2-US [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7XS-96-2-US [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7XS-96-5-US [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7XS-96-5-US [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7XS-96-ACM-US [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7XS-96-ACM-US [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7XS-96-ACM-US-NM [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7XS-96-ACM-US-NM [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7XS-96-ACM-US-RMA [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7XS-96-ACM-US-RMA [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7XS-96-E-ACM-US [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
Enphase Energy Inc : IQ7XS-96-E-ACM-US [240V],240,3.78988,315,324.623,54.5,-0.00010419,-0.000300697,0.00923502,-0.0127143,0.027,64,5.95638,45,64,12/21/2023,N
Enphase Energy Inc : IQ7XS-96-E-ACM-US-NM [208V],208,3.57715,315,326.199,54.5,-0.000117822,-0.000144027,0.0100036,-0.00621635,0.021,64,5.98531,45,64,12/21/2023,N
